idade,genero,uf,regiao,nivel_ens,area_form,situac_de_trab,setor_atuacao,n_func,cargo,nivel,faixa_sal,experiencia,form_trab,sql,r,python,c,dotnet,java,julia,sas_stata,vba,scala,matlab,php,javascript,nao_utiliza_ling,tot_ling
27.0,Masculino,CE,Nordeste,Pós-graduação,Outras,Estagiário,Outro,de 501 a 1000,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22.0,Masculino,SP,Sudeste,Estudante de Graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Setor Público,de 11 a 50,Analista Administrativo,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% presencial,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43.0,Masculino,GO,Centro-oeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Público,de 101 a 500,Técnico,Pleno,de R$ 2.001/mês a R$ 3000/mês,de 6 a 10 anos,Modelo 100% presencial,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44.0,Masculino,SE,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Indústria,Acima de 3000,Analista de Dados/Data Analyst,Sênior,de R$ 25.001/mês a R$ 30.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23.0,Masculino,SP,Sudeste,Estudante de Graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 6 a 10,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 2.001/mês a R$ 3000/mês,de 2 a 3 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21.0,Masculino,MG,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área da Saúde,de 101 a 500,Engenheiro de Machine Learning/ML Engineer,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
49.0,Masculino,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Setor Automotivo,de 101 a 500,Outras Engenharias (não inclui dev),Pleno,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% presencial,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42.0,Masculino,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,de 1001 a 3000,DBA/Administrador de Banco de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33.0,Feminino,SC,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3000,Cientista de Dados/Data Scientist,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,Masculino,ES,Sudeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Outro,de 51 a 100,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29.0,Masculino,SC,Sul,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Outro,Acima de 3000,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25.0,Masculino,SP,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,de 501 a 1000,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28.0,Feminino,SE,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Acima de 3000,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26.0,Feminino,PE,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,Acima de 3000,Analista de Marketing,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo 100% remoto,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32.0,Masculino,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50.0,Masculino,MG,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil (PJ),Tecnologia/Fábrica de Software,de 51 a 100,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50.0,Masculino,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Marketing,de 501 a 1000,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46.0,Masculino,SC,Sul,Graduação/Bacharelado,Outras Engenharias,Servidor Público,Internet/Ecommerce,de 1001 a 3000,Cientista de Dados/Data Scientist,Júnior,de R$ 12.001/mês a R$ 16.000/mês,Menos de 1 ano,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45.0,Masculino,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Área da Saúde,de 1001 a 3000,Outro,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26.0,Masculino,MG,Sudeste,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Servidor Público,Educação,Acima de 3000,Professor,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31.0,Masculino,MG,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Energia,Acima de 3000,Analista de Dados/Data Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
